word,number
塑化,235
代工,234
注意,233
萬點,232
日圓,232
偏多,232
計畫,232
網通,232
陶瓷,231
PCB,231
除息,230
資料,230
陸股,230
多空,229
發行,229
調漲,228
評論,228
大增,228
低檔,228
規模,228
變數,228
天,228
互見,227
收高,227
統計,227
上櫃,227
感測,226
獲,226
啟動,225
商機,225
寶,224
上市櫃,224
淡季,224
值得,223
則是,223
以下,223
調節,223
不足,223
過去,223
考量,223
先前,223
原物料,223
遠東新,222
華通,222
報價,222
蘋概,221
普遍,221
中美晶,220
中鋼,220
一路,220
點或,219
空單,219
全,219
股東會,218
智寶,218
超,218
傳統,218
停損,217
材料,216
目標價,216
華新,215
傳產股,215
拉貨,214
降至,214
新低,214
反,213
下滑,213
將在,213
放大,212
看法,212
非,212
高達,211
價差,210
不錯,210
順利,210
模組,210
中心,210
抗跌,210
遭,209
疲弱,209
現階段,208
券商,208
數據,208
吋,207
上銀,207
代號,206
態度,206
反壓,206
應該,206
微星,206
台幣,205
美桀,204
二極體,204
尚未,204
大成鋼,203
報告,203
回補,203
反應,203
電競,203
跡象,203
化,202
凱美,202
Q2,202
低於,202
晶電,202
方向,202
第一季,201
轉為,201
通訊,201
元件廠,201
亞泥,201
鋼,200
強茂,200
完成,200
GIS,200
之前,200
塑膠,200
聚焦,200
台廠,199
供應商,199
台化,199
庫存,199
因應,199
智邦,198
自結,197
百分點,197
記憶體,197
量縮,197
服務,197
累積,196
缺口,196
線,196
收漲,195
歐洲,194
大型,194
取得,193
六個,193
攻上,193
穩健,193
Q1,193
聯準會,192
RSI,192
減碼,191
測試,191
回穩,191
創高,190
自動化,190
漲多,190
日月光,190
英業達,190
氣氛,190
紀錄,190
日前,189
凱基,189
貨幣,189
一金,189
食品,189
掛牌,189
關係,188
製造,188
並未,188
股本,188
匯率,187
實施,187
提高,187
大同,186
小漲,186
具有,186
內資,186
三星,186
談判,185
請,185
水準,185
雙方,185
認售,184
業務,184
供應,184
前波,184
重新,184
小幅,184
玉山金,184
疑慮,184
總統,184
發表,184
投控,183
嘉晶,183
上升,183
回升,183
再創,182
拉升,182
週四,182
拚,181
開發,181
電機,181
偏,180
機率,180
創意,179
盤,179
重大,179
守住,179
人氣,179
吃緊,178
代表,178
LED,177
強勢股,176
確定,176
先,176
子公司,176
登場,175
市值,174
降低,174
態勢,174
推出,174
不利,174
Q3,173
站穩,173
太,173
日盛,172
管理,172
接單,171
形成,171
五日,171
具,171
快速,170
毛利,170
全數,170
上証,170
部份,170
不變,170
銀行,170
四寶,170
目標,170
紡織,169
月底,169
第一,169
商品,168
拉抬,168
供給,167
干擾,167
主流,166
謹慎,166
看待,166
網路,166
供不應求,165
量,165
全新,165
點至,165
大廠,164
參考,164
站回,164
漲停板,163
歷年,163
相較,163
展開,163
之間,163
召開,163
效益,163
亞光,163
發生,163
位置,163
回溫,163
結算,162
表態,162
鴻,161
期待,161
資本,161
年增率,161
