key,weight
可望,0.10586701713832518
新高,0.09752045328806364
加上,0.08219793950748833
表示,0.07977712067820197
受惠,0.07292790089113965
指出,0.07253582051491786
留意,0.06926620865955327
同步,0.0612075912114257
升息,0.051580122639848285
包括,0.0486523312126432
除息,0.046807941301310906
操作,0.04677579731155186
可能,0.042933425343398994
展望,0.04253757627066576
公布,0.04148134286262478
受到,0.03802895254167274
持股,0.03797788135857606
再度,0.0378084988591078
成交,0.034595502531611616
推升,0.03431512833574437
走跌,0.03337557146006873
走高,0.03267473432297252
增加,0.0322725788977465
分析,0.032009533539976126
認售,0.031601794948268536
失守,0.03112637664078053
前名,0.03093145384330527
填息,0.029878060678362982
上攻,0.029676336076044762
是否,0.028608897513330508
大同,0.028430891997424806
止跌,0.027832935903838764
一度,0.02727561887209721
攻上,0.024895739507069217
宣布,0.02392046391520471
有利,0.02383584164095581
合作,0.023215208843775325
突破,0.023022089492483883
有限,0.021484072619513125
持有,0.02058402831107957
大幅,0.02051986336226439
加持,0.02027254660224373
聚焦,0.020075496583482462
抗跌,0.019876674281368183
疲弱,0.01964859509180395
帶量,0.016854290639076557
重返,0.01650479941109767
就是,0.016429120304171037
重要,0.01613710562162756
推出,0.015796521288240745
有撐,0.015705134459139517
使得,0.01493496581134103
尤其,0.01479731483890994
全新,0.014740263336363097
提升,0.014638076569583696
截至,0.01447606587961654
放大,0.014343384466812966
暗示,0.013763424230229821
概與,0.013598348129254948
下彎,0.013598348129254948
恐將,0.013598348129254948
成功,0.013553785582418834
正式,0.013533585528669949
重回,0.013490127717610323
期待,0.01332852907263968
大增,0.013209398630555844
回升,0.013065106944282224
可期,0.013054899320322022
有助,0.012967527547600709
尚未,0.012916823408549308
率為,0.012832244009296924
完成,0.01270452946210747
希望,0.012675912074583014
造成,0.012641525692657469
整合,0.012638464786261044
吸引,0.012472103133145623
包含,0.012267391367306648
申述,0.01206282906199284
精密,0.011933952483976705
陷入,0.011803290878442688
不利,0.011474683233885386
依次,0.01131578150379583
上看,0.011300035769380871
最高,0.01128105186383332
提高,0.010883880605083909
注意,0.010727202175322942
不足,0.010708366884317309
看待,0.010701877181914015
最多,0.010598947660718698
回流,0.010280649114163508
思考,0.010071157948645834
排名,0.010056506350987609
上升,0.009946916929531308
招致,0.009877091791401987
降低,0.009769284221253631
研判,0.009571368440755146
拉升,0.009465118084330927
透露,0.009436824925811098
位置,0.009364016115678364
公投,0.009322858175490441
加速,0.009301845791843764
出口,0.00921872639694866
排除,0.008966107890403486
出售,0.008845477786565203
直接,0.00883798720016021
接近,0.00874612967049096
要求,0.008745418567908472
支出,0.008679710927112954
必需,0.008661386588555638
超越,0.008534413562084958
攀升,0.00851693412289882
快速,0.008439061741003067
正面,0.008357497562605959
符合,0.008259208826117257
增至,0.008228804789471071
加入,0.008068614327616332
上演,0.00797914319695667
配合,0.007912381667429691
打造,0.00789740278675689
作出,0.007798261032013747
沉重,0.007775957745560531
排行,0.007652954127601351
最佳,0.007578674872941516
連賣,0.0075652781845855
漲收,0.0075652781845855
入股,0.007564124111632128
正向,0.007499993202637037
宏碁,0.007373752154595994
回到,0.007201191299616139
不淡,0.007182226124606487
似乎,0.007162208516366702
下探,0.007125586983931526
有意,0.007108778745629741
提出,0.007032335360233425
不大,0.006994712660381777
分行,0.006808838543478617
至點,0.006799174064627474
搭配,0.006694484550836931
看到,0.0066247799347509155
成立,0.006592175426816569
打入,0.0065888491531884774
形成,0.006536373825874379
共同,0.006498098070155002
一直,0.0064604368098359465
看淡,0.0064317817121835675
擴至,0.0063203589896537096
再次,0.006285178829397053
提醒,0.006227481057584611
死亡,0.006213339908169853
重心,0.0061658272494561715
上以,0.006128832959664202
一定,0.006093245419398096
有效,0.0059394963299582645
下市,0.005914501423160601
健康,0.005878723915731072
低迷,0.005877121466744635
倍增,0.005876134588906094
至上,0.005872924984470949
管理,0.005841102137763002
仍以,0.005780745140624174
下降,0.005774468400980318
零售,0.0057200601613905345
使用,0.0056798792907393645
具有,0.005672784629051483
升至,0.005662323374153496
暫收,0.005650017884690437
意外,0.005626195489723799
出席,0.005601473432489647
為升,0.0055542548696956824
仍偏,0.0055542548696956824
跌落,0.00551399069062105
新增,0.005473340082000929
遭賣,0.00545849185470093
消化,0.005395682564107917
平衡,0.0053359329030679995
漲少,0.005266965824711424
爆出,0.005260174545755025
完全,0.005177326053756819
過長,0.00517120280971667
祭出,0.005115452484902714
避免,0.005104333366745035
最快,0.005076570882571033
再生,0.0050025187983742
推估,0.004972515617611766
禁止,0.0049700789551048175
非常,0.004948962717774698
支持,0.004880312442093289
扣除,0.004846370686513614
選市,0.004788150749737658
大成,0.004785115327575638
容易,0.004770491148332626
退休,0.004733443255342007
缺乏,0.004717263570737521
小漲,0.004692387734742905
例如,0.004678126820274758
跌跌,0.004662660086995843
入主,0.004655233220340764
分拆,0.004601911429724361
至今,0.004589599638943582
有成,0.0045872730235747405
入列,0.0045493227990916155
支援,0.0045410477693119825
未變,0.004500861704753397
改革,0.004485835756398023
休息,0.004424803079859978
受制,0.004367906610662704
迅速,0.004357963625644321
一次性,0.004315081653041647
恐怕,0.004300422861976818
示警,0.004297934403289089
演出,0.004285607270262021
相比,0.0042637525527772216
最新,0.0042569722960756826
固定,0.004248733568322693
連買,0.004213572659769139
掌握,0.004193982375136378
相信,0.004172192832368929
中止,0.00417155174642662
暴增,0.0041690514819021605
喊漲,0.004117809644774386
深耕,0.0041071676482196786
安全,0.004086668164232078
增添,0.004073146684043032
知名,0.004028310058051058
短均,0.0040220466297796326
