key,weight
跌破,0.6238022497405559
下跌,0.3264323408801271
拉回,0.06737898234545847
重挫,0.057304321985259664
看好,0.034219464390128726
拖累,0.03591220761586364
心得,0.0349592336552741
大跌,0.04258230119485255
集中,0.031420967918122
需求,0.03415556248902693
保守,0.03040844527351916
跳空,0.029059602907342576
下挫,0.02531588608582698
取得,0.02525501497309192
走低,0.027159832326915767
避險,0.02234102331505746
新低,0.022023071622085142
跌停,0.02260371267063848
提供,0.0187868586462251
挹注,0.018583927226720916
下滑,0.01820083751919721
有望,0.018074306734884388
降至,0.017318657513165383
出刊,0.01637904673188813
守住,0.015291837235667988
平均,0.015358953159923952
最大,0.01496280843523615
看法,0.013488872267992195
重新,0.014457123887637912
能否,0.014350208633522462
回神,0.012910679768200277
值得,0.012326998826187223
收在,0.012473723932439569
普遍,0.012347032920874452
升值,0.011769248885930264
衰退,0.01346112589312283
扮演,0.010251717583143315
逐步,0.01026077950835122
逼近,0.011332884645198271
甚至,0.009932324934187468
助攻,0.009749459939019744
重大,0.009554991141213713
跟著,0.01117051165752873
原先,0.009774070836766407
仍為,0.01013938750452608
提前,0.009976648765155218
破底,0.011428292695779394
縮至,0.01117051165752873
排列,0.009225762732537609
未能,0.008977853085085856
較大,0.008420847249521659
付款,0.009705535855881459
精測,0.009881606466275415
真的,0.009151536084208095
最低,0.007938164157359606
攻高,0.008678628287772322
出具,0.007660911719224593
率先,0.007165577779368778
研究,0.007676199786221582
投入,0.007022511050027313
需要,0.007556867579456179
依然,0.006916289628300761
達以,0.010912730619278069
放量,0.00738902927221977
拉出,0.006863240049184703
至少,0.007448294953572059
特定,0.008017437657542245
恐慌,0.008050018382688623
同意,0.007287904802063008
接受,0.0069843562905249155
承接,0.0067298527674822285
受限,0.008382784196753253
提案,0.006389518085973678
限制,0.006035928621612267
知道,0.006541295763295407
反攻,0.007323622427820624
反映,0.006186568553254437
仍須,0.006616379981767018
改善,0.006712801141629663
不易,0.006073862304981493
揭露,0.006377091958277402
不到,0.006597063935192162
控股,0.00539627152910916
買權,0.005413401803263922
引述,0.005939206601166416
不少,0.0057651589474255905
得分,0.005864602402232133
熄火,0.006036709313257096
不含,0.006025591549814198
化解,0.005811364366245589
拿下,0.006217246542308539
微幅,0.005918527045889438
更多,0.0060540107792097855
才能,0.005042827010929007
超前,0.006149908699351959
急拉,0.005648004814744083
逾成,0.005585255828764365
工作,0.004833269565044887
扣抵,0.0046516419753074535
放空,0.005849133754904512
得免,0.005906243219935743
跌到,0.007213129953334075
點賣,0.004811912714012378
未經,0.0054993288160141455
不再,0.004479167792573116
切入,0.004687082393293179
仍然,0.005573345810466553
縮表,0.005241547777763481
達運,0.0054993288160141455
攀高,0.0052339040119158756
不振,0.00582774483393051
升高,0.006163781205708453
等待,0.004240092909784011
相互,0.004365838790213834
最強,0.004554131675761713
革新,0.004736495507589397
不同,0.00398353485062001
降到,0.004094847433237258
不宜,0.004577597147740553
定存,0.0043253185827768865
交付,0.00459038259916968
引爆,0.004631533342059126
遭到,0.004739713968338712
支付,0.0038764237004442702
休市,0.006098256366327169
拓展,0.003684456871035026
稍早,0.004151591161170729
承壓,0.0053274747905137036
停止,0.009445309265110582
不作,0.0039852262720410135
收入,0.0033812362329002283
想像,0.0033471760381744747
自結,0.003780788561009725
蘊通,0.003179299471758177
打底,0.0039385382284215145
就算,0.003082349177716044
急跌,0.0030933724590079567
婷婷,0.0039731982488409884
重建,0.004100796163040675
算是,0.003332008692273677
密切,0.003377288876625457
再來,0.003351153497258619
巨大,0.003369028531525153
分享,0.003033285459520582
回落,0.0029386413714767804
到底,0.003211479461043507
小黑,0.00505628079459846
重跌,0.00289616385196547
建立,0.002790334386757423
最弱,0.002950461213215695
走向,0.002936866161808348
有待,0.0025574336633910023
正常,0.0032471088017627064
平平,0.0027177987722357268
登上,0.002504778314506961
出手,0.0030692471799350233
提早,0.0024958142542438927
休兵,0.005780307105162908
失利,0.002692595863472583
茂達,0.002835591420757293
建中,0.0025676754569759997
加班,0.0026200897716102556
仍要,0.0024042100243245376
通知,0.002388857339662323
必要,0.0023335982962829644
稍微,0.00257619322377619
已向,0.0022446938065031233
最差,0.002736785509010329
暫報,0.003952642586510165
交出,0.0022709988930401
滑落,0.002934963508391469
增速,0.002168310322174344
取代,0.003064449006840153
反向,0.003031483957357307
暴跌,0.005979270011200199
等到,0.002811463466528496
抱持,0.0023795335130046644
力拼,0.0025778103825066304
不輕,0.0022341023315057464
高出,0.002420853188985603
仍未,0.003103258558092103
遇到,0.002572391884323963
生活,0.002331469594793965
真正,0.0022077577834725107
位居,0.002159639749872275
上有,0.0036022905999292727
仍多,0.0019763212932550826
治療,0.002062248306005305
遭逢,0.0020654981547909464
做出,0.0026554477352994025
主攻,0.002029915996001351
掀起,0.002334000496485082
相同,0.0018992045568532348
停利,0.003608934535509283
立即,0.0018796048430060304
不跌,0.002662541064026393
蔓延,0.0020183926426830165
旺旺,0.002508104902246149
表彰,0.0019123483393017168
很大,0.0017595299914213629
沾光,0.002126247559176867
援助,0.003242129044729923
反手,0.002044571588012392
大致,0.0018428793080240355
停工,0.002513401029528057
下以,0.0018044672677546415
自然,0.0019266372764405906
垂直,0.0020649367413310142
反覆,0.002611890904275949
澄清,0.0019783970848508197
了解,0.002051453376953144
上限,0.002326179904922553
不休,0.0016729309321813885
看看,0.0021388692009293667
精成,0.0019763212932550826
完工,0.0019454478147764274
不可,0.0020479519351631237
超微,0.00267749692637087
跨入,0.00228275159090385
囊括,0.0015794050943859926
已將,0.001546686229503978
